Timestamp,AQI,Temperature,Humidity,Status
2026-06-14 08:12:05.709251,346,35,62,Hazardous
2026-06-14 08:12:07.710858,280,18,68,Hazardous
2026-06-14 08:12:09.712865,154,38,39,Poor
2026-06-14 08:12:11.714431,176,26,66,Poor
2026-06-14 08:12:13.715908,58,37,34,Moderate
2026-06-14 08:12:15.720518,35,24,89,Good
2026-06-14 08:12:17.724779,384,20,56,Hazardous
2026-06-14 08:12:19.730245,219,35,35,Hazardous
2026-06-14 08:12:21.733337,32,28,75,Good
2026-06-14 08:12:23.735332,43,29,67,Good
2026-06-14 08:12:25.738590,360,31,31,Hazardous
2026-06-14 08:12:27.740382,396,21,47,Hazardous
2026-06-14 08:12:29.743554,236,29,67,Hazardous
2026-06-14 08:12:31.745029,221,26,36,Hazardous
2026-06-14 08:12:33.747269,223,26,65,Hazardous
2026-06-14 08:12:35.748570,63,30,68,Moderate
2026-06-14 08:12:37.750786,207,39,74,Hazardous
2026-06-14 08:12:39.752651,370,22,83,Hazardous
2026-06-14 08:12:41.755217,57,28,88,Moderate
2026-06-14 08:12:43.759463,26,28,69,Good
2026-06-14 08:12:45.761747,354,20,36,Hazardous
2026-06-14 08:12:47.763136,180,35,60,Poor
2026-06-14 08:12:49.764840,158,32,47,Poor
2026-06-14 08:12:51.765974,112,28,53,Poor
2026-06-14 08:12:53.767891,380,40,31,Hazardous
2026-06-14 08:12:55.771856,134,34,38,Poor
2026-06-14 08:12:57.774264,349,23,71,Hazardous
2026-06-14 08:12:59.777738,148,33,30,Poor
2026-06-14 08:13:01.779866,182,30,52,Poor
2026-06-14 08:13:03.782036,385,38,90,Hazardous
2026-06-14 08:13:05.783955,191,29,82,Poor
2026-06-14 08:13:07.786226,295,28,89,Hazardous
2026-06-14 08:13:09.790085,183,31,70,Poor
2026-06-14 08:13:11.795014,253,28,73,Hazardous
2026-06-14 08:13:13.797182,85,19,84,Moderate
2026-06-14 08:13:15.799362,299,31,40,Hazardous
2026-06-14 08:13:17.803550,32,37,30,Good
2026-06-14 08:13:19.805039,303,38,47,Hazardous
2026-06-14 08:13:21.808888,210,23,52,Hazardous
2026-06-14 08:13:23.816399,136,31,76,Poor
2026-06-14 08:13:25.818656,160,33,89,Poor
2026-06-14 08:13:27.821288,131,33,62,Poor
2026-06-14 08:13:29.834465,335,27,36,Hazardous
2026-06-14 08:13:31.837525,323,29,80,Hazardous
2026-06-14 08:13:33.840385,318,36,46,Hazardous
2026-06-14 08:13:35.844457,209,21,74,Hazardous
2026-06-14 08:13:37.847659,65,19,43,Moderate
